Time (UTC),Open,High,Low,Close,Volume 
2015.06.29 17:00:00,0.7686,0.77131,0.76798,0.76807,12250.79
2015.06.29 21:00:00,0.76805,0.76844,0.76647,0.76728,11494.28
2015.06.30 01:00:00,0.7673,0.76819,0.76603,0.7676,16234.22
2015.06.30 05:00:00,0.7676,0.76956,0.76686,0.76809,21930.77
2015.06.30 09:00:00,0.7681,0.77142,0.76661,0.77089,20582.06
2015.06.30 13:00:00,0.77091,0.77249,0.76815,0.77095,23270.9
2015.06.30 17:00:00,0.77093,0.77179,0.7702,0.77104,16178.18
2015.06.30 21:00:00,0.77096,0.77193,0.76902,0.77193,18564.72
2015.07.01 01:00:00,0.77192,0.77392,0.76973,0.77178,12669.69
2015.07.01 05:00:00,0.77178,0.77212,0.77013,0.77132,17150.03
2015.07.01 09:00:00,0.77136,0.77222,0.7666,0.76773,20017.23
2015.07.01 13:00:00,0.76773,0.76779,0.76519,0.76619,20944.62
2015.07.01 17:00:00,0.76618,0.76618,0.76392,0.76455,10785.63
2015.07.01 21:00:00,0.76462,0.76543,0.7634,0.76527,14804.86
2015.07.02 01:00:00,0.7653,0.7658,0.763,0.76512,14547.7
2015.07.02 05:00:00,0.76512,0.76537,0.76033,0.76054,22699.65
2015.07.02 09:00:00,0.76052,0.76433,0.75901,0.7623,24861.79
2015.07.02 13:00:00,0.76228,0.76372,0.76135,0.76343,22890.67
2015.07.02 17:00:00,0.7634,0.76374,0.76214,0.76346,9063.6
2015.07.02 21:00:00,0.7635,0.76495,0.76304,0.76433,11225.21
2015.07.03 01:00:00,0.76432,0.76461,0.75681,0.75902,17185.51
2015.07.03 05:00:00,0.75901,0.75952,0.75379,0.7539,20428.24
2015.07.03 09:00:00,0.75391,0.75491,0.75118,0.75258,21016.82
2015.07.03 13:00:00,0.75258,0.75258,0.75101,0.75189,15623.98
2015.07.03 17:00:00,0.75183,0.75411,0.75138,0.75234,8424.52
2015.07.05 21:00:00,0.74826,0.75158,0.74645,0.75119,12437.92
2015.07.06 01:00:00,0.7512,0.75192,0.74689,0.74791,13840.76
2015.07.06 05:00:00,0.74792,0.75222,0.74648,0.75018,22062.68
2015.07.06 09:00:00,0.75016,0.75133,0.74842,0.75057,18096.6
2015.07.06 13:00:00,0.75057,0.75332,0.75027,0.75178,18304.85
2015.07.06 17:00:00,0.75178,0.75225,0.7492,0.75005,7800.04
2015.07.06 21:00:00,0.75022,0.75034,0.74746,0.74791,10873.13
2015.07.07 01:00:00,0.7479,0.74936,0.74655,0.74843,15834.4
2015.07.07 05:00:00,0.74845,0.74999,0.74261,0.74391,22321.65
2015.07.07 09:00:00,0.74394,0.74446,0.74131,0.7426,24534.45
2015.07.07 13:00:00,0.74259,0.74403,0.73984,0.74264,24377.24
2015.07.07 17:00:00,0.74263,0.74772,0.74248,0.74534,12719.71
2015.07.07 21:00:00,0.74538,0.74598,0.74346,0.74356,11437.02
2015.07.08 01:00:00,0.74357,0.74378,0.7392,0.74095,19689.59
2015.07.08 05:00:00,0.74096,0.7423,0.73729,0.74002,22164.16
2015.07.08 09:00:00,0.74003,0.74399,0.73998,0.74192,19128.04
2015.07.08 13:00:00,0.74187,0.74504,0.74141,0.74342,25994.27
2015.07.08 17:00:00,0.74346,0.74443,0.7419,0.74304,11756.19
2015.07.08 21:00:00,0.74305,0.74336,0.73932,0.74038,11138.06
2015.07.09 01:00:00,0.74038,0.74755,0.74038,0.74689,20600.67
2015.07.09 05:00:00,0.74691,0.74924,0.74511,0.74547,21496.93
2015.07.09 09:00:00,0.74548,0.74695,0.74135,0.74563,19412.48
2015.07.09 13:00:00,0.74562,0.74606,0.7424,0.74397,18925.77
2015.07.09 17:00:00,0.74398,0.74638,0.74276,0.74495,11155.37
2015.07.09 21:00:00,0.74496,0.74773,0.74479,0.74725,12245.49
2015.07.10 01:00:00,0.74726,0.74962,0.74726,0.74815,14412.96
2015.07.10 05:00:00,0.74816,0.74909,0.74475,0.74514,19398.2
2015.07.10 09:00:00,0.74514,0.74971,0.74494,0.74617,21528.2
2015.07.10 13:00:00,0.74615,0.74666,0.74132,0.74195,22068.66
2015.07.10 17:00:00,0.74196,0.74533,0.74101,0.74473,8592.87
2015.07.12 21:00:00,0.742,0.7439,0.74165,0.74329,10846.94
2015.07.13 01:00:00,0.7433,0.74694,0.74225,0.74417,17668.5
2015.07.13 05:00:00,0.74418,0.74666,0.74119,0.7424,27664.67
2015.07.13 09:00:00,0.7424,0.74449,0.74147,0.74176,19940.65
2015.07.13 13:00:00,0.74176,0.74176,0.73837,0.7415,21566.24
2015.07.13 17:00:00,0.7415,0.7417,0.73993,0.74077,12040.54
2015.07.13 21:00:00,0.74089,0.74128,0.73884,0.74061,15931.22
2015.07.14 01:00:00,0.7406,0.7433,0.73976,0.74232,17641.66
2015.07.14 05:00:00,0.7423,0.74376,0.74142,0.74203,21467.37
2015.07.14 09:00:00,0.74203,0.74796,0.74199,0.74567,23142.98
2015.07.14 13:00:00,0.74567,0.74649,0.74418,0.74527,20865.05
2015.07.14 17:00:00,0.74527,0.74576,0.74452,0.74538,8191
2015.07.14 21:00:00,0.74545,0.74584,0.74376,0.74475,13553.24
2015.07.15 01:00:00,0.74474,0.74892,0.74441,0.74706,17039.49
2015.07.15 05:00:00,0.74706,0.74849,0.74465,0.74566,22750.05
2015.07.15 09:00:00,0.74568,0.74776,0.74395,0.74409,20495.9
2015.07.15 13:00:00,0.74409,0.74409,0.73543,0.73674,34089.46
2015.07.15 17:00:00,0.73674,0.73814,0.73624,0.73806,13106.36
2015.07.15 21:00:00,0.73807,0.73903,0.73647,0.73691,15623.64
2015.07.16 01:00:00,0.73691,0.73783,0.73548,0.73609,16255.49
2015.07.16 05:00:00,0.73608,0.73942,0.735,0.73873,21031.5
2015.07.16 09:00:00,0.73873,0.74074,0.73818,0.73969,21337.85
2015.07.16 13:00:00,0.73969,0.74378,0.73957,0.74181,21507.8
2015.07.16 17:00:00,0.74181,0.74239,0.74017,0.74062,8876.24
2015.07.16 21:00:00,0.74062,0.7419,0.74054,0.74111,13714.54
2015.07.17 01:00:00,0.7411,0.74194,0.74048,0.7418,14111.99
2015.07.17 05:00:00,0.74179,0.74192,0.73958,0.73963,17215.93
